
RESULTS: 3903456089.492546 2366405.964823 3901089683.527726 50000 40486 9514 20230.870569 18187.779771 2043.090798 25304.473885 22253.462476 3051.011408 11782434.324031 2087558.874481 9694875.449551
RESULTS: 714248102176957.875000 2351786.514275 714248099825171.000000 50000 40260 9740 20465.094186 18304.501985 2160.592201 25546.539734 22358.447792 3188.091942 1458768635947.410645 2116640.937214 1458766519306.471680
RESULTS: 875101632898.257324 2381239.949711 875099251658.307617 50000 40321 9679 20136.181105 18095.968156 2040.212948 25211.029507 22144.530458 3066.499049 1837104177.537098 2117500.597712 1834986676.939384
RESULTS: 723230024423067136.000000 2355306.084297 723230024420712064.000000 50000 40459 9541 20289.466270 18148.070267 2141.396002 25350.295274 22208.412181 3141.883093 1333575389923151.250000 2103632.393619 1333575387819518.250000
RESULTS: 1879594208.308881 2319499.732222 1877274708.576663 50000 40342 9658 20170.857668 17984.865720 2185.991947 25232.617639 22032.583692 3200.033948 8239179.815297 2040046.717384 6199133.097913
RESULTS: 4604096346976.545898 2220463.248347 4604094126513.297852 50000 40242 9758 20306.248423 18178.514123 2127.734300 25386.828767 22228.528970 3158.299798 10589105728.988840 2005890.901627 10587099838.087231
RESULTS: 3889662083791.913086 2354797.753941 3889659728994.166016 50000 40385 9615 20343.491713 18257.117297 2086.374416 25426.498399 22322.663701 3103.834698 7121655897.077789 2113000.490463 7119542896.587332
RESULTS: 723952037019172736.000000 2297564.976974 723952037016875776.000000 50000 40263 9737 20260.522089 18040.387339 2220.134750 25332.595211 22084.007924 3248.587286 1401298801452222.750000 2031666.597917 1401298799420556.250000
RESULTS: 717404134931648.750000 2169335.190955 717404132762314.625000 50000 40307 9693 20348.185416 18209.033879 2139.151537 25423.256565 22259.378658 3163.877907 1015032006104.052856 1942628.888727 1015030063475.163574
RESULTS: 723943548707398656.000000 2411412.448405 723943548704988288.000000 50000 40588 9412 20245.845757 18211.313664 2034.532093 25309.648859 22286.589595 3023.059264 1263943133075874.500000 2146153.979142 1263943130929719.750000
